Symbol,Date,Open,High,Low,Close,Volume
A,08 Jun 2023,115.93,116.9,114.66,114.69,2558800
AA,08 Jun 2023,35.61,35.9497,34.76,35.58,3779400
AAC,08 Jun 2023,10.5,10.5,10.49,10.5,96200
AAC.S,08 Jun 2023,10.23,10.23,10.23,10.23,400
AAC.U,08 Jun 2023,10.6,10.6001,10.5999,10.6,3100
AAC.W,08 Jun 2023,0.6,0.6,0.6,0.6,4700
AAI-B,08 Jun 2023,18.8,18.8,18.8,18.8,0
AAI-C,08 Jun 2023,22.7,22.9,22.5771,22.8999,1200
AAIC,08 Jun 2023,4.24,4.335,4.24,4.31,403100
AAIN,08 Jun 2023,23.89,23.89,23.89,23.89,0
AAM-A,08 Jun 2023,24.02,24.25,24,24.11,25600
AAM-B,08 Jun 2023,24.55,24.55,24,24.47,7300
AAN,08 Jun 2023,14.5,14.7094,13.99,14.41,257800
AAP,08 Jun 2023,65.49,66.22,64.74,64.74,3903900
AAT,08 Jun 2023,20.35,20.355,19.63,19.78,428800
AB,08 Jun 2023,34.62,34.778,34.07,34.69,161100
ABBV,08 Jun 2023,137,137.89,136,137.64,4714300
ABEV,08 Jun 2023,2.97,3.02,2.96,3,4646800
ABG,08 Jun 2023,228.93,231.49,225.78,230.9,133700
ABM,08 Jun 2023,47.79,48.1,46.93,47.13,776700
ABR,08 Jun 2023,14.08,14.21,13.88,14.13,2325100
ABR-D,08 Jun 2023,18.44,18.4499,18.4,18.4,4600
ABR-E,08 Jun 2023,17.855,18.0069,17.71,17.885,6200
ABR-F,08 Jun 2023,18.8,19.05,18.66,18.75,56700
ABT,08 Jun 2023,101.25,101.38,100.57,100.78,5159500
AC,08 Jun 2023,36.27,36.45,36.16,36.23,12200
ACA,08 Jun 2023,72.94,73.615,71.7,73.33,182100
ACCO,08 Jun 2023,5.4,5.41,5.21,5.24,724700
ACEL,08 Jun 2023,10,10.11,9.89,9.99,213400
ACH.W,08 Jun 2023,0.52,0.52,0.44,0.46,3900
ACHR,08 Jun 2023,3.13,3.15,3.01,3.06,1174400
ACI,08 Jun 2023,20.91,20.93,20.76,20.9,2138100
ACM,08 Jun 2023,82.92,83.22,82.22,83.02,566700
ACN,08 Jun 2023,310.87,310.87,306.71,307.33,1870300
ACP,08 Jun 2023,6.81,6.91,6.775,6.89,192400
ACP-A,08 Jun 2023,22.53,22.73,22.53,22.53,800
ACR,08 Jun 2023,8.09,8.435,8.09,8.4327,6800
ACR-C,08 Jun 2023,20.18,20.4,20.15,20.31,4200
ACR-D,08 Jun 2023,18.75,19.11,18.75,19,3100
ACR.U,08 Jun 2023,10.2,10.2,10.2,10.2,0
ACR.W,08 Jun 2023,0.1,0.1,0.1,0.1,800
ACRE,08 Jun 2023,9.95,10.02,9.77,10,642500
ACRO,08 Jun 2023,10.26,10.3,10.26,10.29,4182400
ACV,08 Jun 2023,19.91,19.91,19.6116,19.8,19600
ADC,08 Jun 2023,65.38,66.07,65.28,65.67,534000
ADC-A,08 Jun 2023,17.84,17.85,17.7,17.8399,1000
ADCT,08 Jun 2023,2.56,2.58,2.44,2.5,96700
ADM,08 Jun 2023,73.36,73.36,71.17,72.2,2701600
ADNT,08 Jun 2023,37.14,37.615,36.975,37.38,963500
ADT,08 Jun 2023,6.23,6.28,6.15,6.16,2080700
ADX,08 Jun 2023,16.05,16.15,16.045,16.15,91600
AEE,08 Jun 2023,83.45,83.905,82.44,83.79,972100
AEFC,08 Jun 2023,22.04,22.1301,21.88,21.96,29600
AEG,08 Jun 2023,4.82,4.82,4.775,4.81,857900
AEL,08 Jun 2023,42.59,42.91,42.2101,42.39,366500
AEL-A,08 Jun 2023,22.77,22.86,22.67,22.67,10100
AEL-B,08 Jun 2023,23.9,24.4,23.9,23.91,9000
