Symbol,Date,Open,High,Low,Close,Volume
A,14 Mar 2023,138.44,139.6,136.43,138.4,1255300
AA,14 Mar 2023,45.83,46.23,43.92,44.59,4196900
AAC,14 Mar 2023,10.27,10.27,10.26,10.27,6600
AAC.U,14 Mar 2023,10.39,10.42,10.39,10.42,600
AAC.W,14 Mar 2023,0.8199,0.84,0.819,0.8375,27100
AAI-C,14 Mar 2023,21.75,21.75,21.7499,21.75,300
AAIC,14 Mar 2023,2.75,2.83,2.75,2.81,88900
AAM-A,14 Mar 2023,21.4,23.1943,21.1919,22.1601,37500
AAM-B,14 Mar 2023,21.25,24,21.25,22.83,84100
AAN,14 Mar 2023,10.83,10.865,10.4,10.5,296700
AAP,14 Mar 2023,125.21,126.14,121.05,121.7,2150800
AAT,14 Mar 2023,20.21,20.21,18.68,18.96,906900
AB,14 Mar 2023,36.89,37.2256,35.7,35.71,277500
ABBV,14 Mar 2023,151.95,153.99,151.46,153.85,6644000
ABEV,14 Mar 2023,2.62,2.68,2.61,2.65,27304300
ABG,14 Mar 2023,214.05,216.46,198.9901,201.6,340600
ABM,14 Mar 2023,45.05,45.445,44.18,44.57,390000
ABR,14 Mar 2023,13.28,13.44,11.7403,12.12,15547800
ABR-D,14 Mar 2023,17.74,18.02,16.375,16.6,125700
ABR-E,14 Mar 2023,17.46,18.08,16.05,16.37,136000
ABR-F,14 Mar 2023,19.45,19.45,17.45,17.68,42800
ABT,14 Mar 2023,99.28,99.5,97.34,98.55,5093900
AC,14 Mar 2023,36.5,37.47,36.5,37.1,6400
ACA,14 Mar 2023,58.39,58.39,56.63,56.98,1328300
ACCO,14 Mar 2023,5.19,5.31,5.11,5.14,697900
ACEL,14 Mar 2023,8.88,9.01,8.78,8.89,267900
ACH.W,14 Mar 2023,0.4305,0.4834,0.4305,0.45,46900
ACHR,14 Mar 2023,2.86,2.93,2.8,2.92,1447200
ACI,14 Mar 2023,19.67,19.775,19.59,19.64,3517200
ACM,14 Mar 2023,85.35,86.1,84.27,85.08,1070400
ACN,14 Mar 2023,256.37,256.73,249.955,252.48,2925600
ACP,14 Mar 2023,6.92,7.0685,6.91,7,339800
ACP-A,14 Mar 2023,21.87,21.87,21.61,21.61,1900
ACR,14 Mar 2023,8.74,9.12,8.61,8.86,14100
ACR-C,14 Mar 2023,21.15,22.1,21,21.92,8900
ACR-D,14 Mar 2023,19.08,19.29,19.08,19.1712,1400
ACR.U,14 Mar 2023,10.15,10.15,10.15,10.15,700
ACRE,14 Mar 2023,10.01,10.13,9.595,9.67,1009200
ACRO,14 Mar 2023,10.22,10.22,10.1,10.1,58100
ACV,14 Mar 2023,19.16,19.39,18.83,18.89,50300
ADC,14 Mar 2023,69.65,69.89,68.15,68.57,1053000
ADC-A,14 Mar 2023,17.19,17.2,16.842,16.97,10800
ADCT,14 Mar 2023,2.56,2.61,2.44,2.46,611200
ADM,14 Mar 2023,78.36,79.35,78.01,78.95,3257800
ADNT,14 Mar 2023,40.71,41.55,39.56,40.1,1089900
ADT,14 Mar 2023,7.22,7.26,7.04,7.12,3454900
ADX,14 Mar 2023,14.84,15.07,14.84,15.01,221600
AEE,14 Mar 2023,83.29,84.525,82.925,83.71,1196700
AEFC,14 Mar 2023,19.81,20.22,19.81,19.99,30900
AEG,14 Mar 2023,4.67,4.67,4.54,4.57,3739500
AEL,14 Mar 2023,34.8,34.85,33.36,33.66,1193500
AEL-A,14 Mar 2023,21.01,21.84,21.01,21.18,21300
AEL-B,14 Mar 2023,23.64,24.565,23.62,23.62,16100
AEM,14 Mar 2023,47.88,48.2,47.28,47.86,2815100
AENZ,14 Mar 2023,2.61,2.645,2.61,2.62,900
AEO,14 Mar 2023,13.17,13.49,13.055,13.24,4424300
AER,14 Mar 2023,56.47,57.02,53.99,54.52,2537800
AES,14 Mar 2023,23.42,23.74,23.015,23.22,5635800
AESC,14 Mar 2023,87.27,88.7999,87.065,87.2,95300
AESI,14 Mar 2023,16.23,17.2118,16,16.61,1219900
AEV.W,14 Mar 2023,0.17,0.1895,0.154,0.17,17400
AEVA,14 Mar 2023,1.76,1.81,1.62,1.66,1106800
AFB,14 Mar 2023,10.41,10.465,10.39,10.46,38600
AFG,14 Mar 2023,120.2,120.83,118.71,119.75,389900
AFGB,14 Mar 2023,22.52,23.66,22.52,22.84,5700
AFGC,14 Mar 2023,20.28,21.3,20.205,20.8647,5600
AFGD,14 Mar 2023,22.1,22.71,22.1,22.35,4900
AFGE,14 Mar 2023,17.7,18.13,17.52,18.04,8200
AFL,14 Mar 2023,63.43,64.08,62.58,63.12,3372700
AFT,14 Mar 2023,12.61,12.71,12.57,12.71,46300
AG,14 Mar 2023,6.78,7.02,6.63,6.99,7359100
AGCO,14 Mar 2023,129.55,131.005,127.13,128.41,588900
AGD,14 Mar 2023,9.09,9.13,8.93,9.03,91800
AGI,14 Mar 2023,10.6,10.835,10.49,10.72,4738600
AGL,14 Mar 2023,23.52,23.8,23.23,23.68,1508800
AGM,14 Mar 2023,131.12,133.07,127.31,129.04,90200
AGM-C,14 Mar 2023,25.22,25.55,25.22,25.48,1000
AGM-D,14 Mar 2023,23,23.0001,23,23,1600
AGM-E,14 Mar 2023,23.23,23.4669,23.2,23.22,2400
AGM-F,14 Mar 2023,20.55,20.9,20.16,20.35,14200
AGM-G,14 Mar 2023,19.12,20,19.03,19.5,31000
AGM.A,14 Mar 2023,112.55,112.55,109.5,109.5,300
AGO,14 Mar 2023,51.64,52.22,51.115,52.17,370900
AGR,14 Mar 2023,39.01,39.525,38.67,39.03,580400
AGRO,14 Mar 2023,7.82,8.05,7.72,7.88,410200
AGS,14 Mar 2023,6.81,7.0704,6.69,6.92,1757800
AGTI,14 Mar 2023,15.4,15.4,14.48,14.92,308200
AGX,14 Mar 2023,41.21,41.925,40.61,41.02,79100
