Symbol,Date,Open,High,Low,Close,Volume
A,04 Jan 2023,151.65,153.04,150.24,151.67,1247400
AA,04 Jan 2023,44.77,45.9,44.3709,45.13,3523400
AAC,04 Jan 2023,10.12,10.12,10.1,10.1,1529000
AAC.U,04 Jan 2023,10.19,10.2,10.19,10.191,6500
AAC.W,04 Jan 2023,0.48,0.52,0.48,0.48,95600
AAI-B,04 Jan 2023,18.4989,18.4989,18.4989,18.4989,300
AAI-C,04 Jan 2023,21.15,21.35,21.03,21.29,3400
AAIC,04 Jan 2023,2.95,2.96,2.94,2.96,26800
AAIN,04 Jan 2023,23.17,23.5,23.1697,23.5,1600
AAM-A,04 Jan 2023,22,22.91,22,22.815,29100
AAM-B,04 Jan 2023,22.09,22.44,22.0305,22.44,14200
AAN,04 Jan 2023,12.06,12.71,11.93,12.7,335000
AAP,04 Jan 2023,152.73,154.5,150.89,151.89,834200
AAT,04 Jan 2023,26.89,27.28,26.62,26.96,249700
AB,04 Jan 2023,35.37,36.085,35.17,35.89,334300
ABBV,04 Jan 2023,162.4,164.28,161.51,163.69,4440400
ABEV,04 Jan 2023,2.59,2.65,2.58,2.61,25771600
ABG,04 Jan 2023,176.71,180.85,176.71,179.34,173900
ABM,04 Jan 2023,45.12,45.56,44.8,44.97,235900
ABR,04 Jan 2023,13.75,13.935,13.68,13.81,1641100
ABR-D,04 Jan 2023,17.7731,18.2061,17.6,18.2061,5500
ABR-E,04 Jan 2023,17.232,17.85,17.232,17.85,17000
ABR-F,04 Jan 2023,18.49,19.4,18.49,19.4,8700
ABT,04 Jan 2023,111.01,111.94,110.35,111.21,4395600
AC,04 Jan 2023,40.95,41.81,39.81,39.81,3700
ACA,04 Jan 2023,54.61,54.87,53.05,53.14,172200
ACCO,04 Jan 2023,5.83,5.94,5.82,5.92,372000
ACEL,04 Jan 2023,8.04,8.26,7.99,8.25,201200
ACH.W,04 Jan 2023,0.2578,0.4,0.2538,0.344,81600
ACHR,04 Jan 2023,1.96,2.285,1.88,2.11,7373700
ACI,04 Jan 2023,20.76,20.93,20.65,20.9,2445400
ACM,04 Jan 2023,83.73,84.54,83.2,84.09,801500
ACN,04 Jan 2023,273.43,274.98,267.01,269.34,2052400
ACP,04 Jan 2023,6.89,7,6.78,6.82,108200
ACP-A,04 Jan 2023,20.65,21.23,20.56,20.995,2200
ACR,04 Jan 2023,8.41,8.9189,8.28,8.88,10000
ACR-C,04 Jan 2023,20.18,20.25,20.075,20.25,3000
ACR-D,04 Jan 2023,18.05,18.2563,18.05,18.2563,2600
ACR.U,04 Jan 2023,9.98,10.01,9.965,10.01,151400
ACR.W,04 Jan 2023,0.12,0.1287,0.12,0.1201,18500
ACRE,04 Jan 2023,10.93,11.0502,10.78,10.85,821500
ACRO,04 Jan 2023,9.95,9.97,9.95,9.97,165600
ACV,04 Jan 2023,18.65,18.995,18.5,18.72,45000
ADC,04 Jan 2023,70.79,72.02,70.39,70.65,664300
ADC-A,04 Jan 2023,16.71,16.95,16.57,16.95,3800
ADCT,04 Jan 2023,3.47,3.54,3.225,3.45,1017300
ADM,04 Jan 2023,89.41,89.41,86.06,86.39,5116400
ADNT,04 Jan 2023,35.56,37.3,35.56,36.95,1379500
