Symbol,Date,Open,High,Low,Close,Volume
A,13 Apr 2023,139.18,141.48,138.99,141.28,1030900
AA,13 Apr 2023,40.38,41.345,40.12,40.94,4086400
AAC,13 Apr 2023,10.35,10.355,10.34,10.35,56900
AAC.U,13 Apr 2023,10.5,10.5,10.5,10.5,0
AAC.W,13 Apr 2023,0.8,0.8001,0.799,0.8,21700
AAI-B,13 Apr 2023,18.5,18.5,18.5,18.5,0
AAI-C,13 Apr 2023,21.49,21.59,21.49,21.5898,1000
AAIC,13 Apr 2023,2.65,2.6501,2.53,2.61,118600
AAIN,13 Apr 2023,22.62,22.8,22.5,22.53,2100
AAM-A,13 Apr 2023,23.5,23.64,23.3,23.64,22400
AAM-B,13 Apr 2023,23.36,23.94,23.3559,23.94,19500
AAN,13 Apr 2023,10.58,10.86,10.44,10.72,254900
AAP,13 Apr 2023,119.26,124.16,119.15,123.25,1538200
AAT,13 Apr 2023,17.67,17.93,17.45,17.72,450200
AB,13 Apr 2023,34.2,35.47,34.2,35.03,302800
ABBV,13 Apr 2023,161,162.861,160.55,162.69,3868600
ABEV,13 Apr 2023,2.94,2.96,2.92,2.93,11298200
ABG,13 Apr 2023,206.05,207.36,202.71,205.27,166800
ABM,13 Apr 2023,43.74,44.21,43.44,44.19,290300
ABR,13 Apr 2023,10.56,10.61,10.245,10.42,5459800
ABR-D,13 Apr 2023,18.11,18.26,17.4,17.81,28200
ABR-E,13 Apr 2023,17.5,17.51,17.25,17.51,6300
ABR-F,13 Apr 2023,18.14,18.14,17.6862,17.86,43200
ABT,13 Apr 2023,102.75,103.71,101.8,103.61,4778700
AC,13 Apr 2023,33.53,36.25,33.53,36,16700
ACA,13 Apr 2023,60.83,61.17,60.18,60.29,128400
ACCO,13 Apr 2023,5.17,5.26,5.1201,5.21,393900
ACEL,13 Apr 2023,9.14,9.2,9.055,9.06,161400
ACH.W,13 Apr 2023,0.4,0.4,0.3008,0.3281,62700
ACHR,13 Apr 2023,2.44,2.475,2.27,2.29,2298000
ACI,13 Apr 2023,20.61,20.72,20.41,20.63,7409800
ACM,13 Apr 2023,82.5,82.7,81.36,82.69,578300
ACN,13 Apr 2023,283,285.42,279.72,285.27,3164300
ACP,13 Apr 2023,6.78,6.8,6.75,6.78,243200
ACP-A,13 Apr 2023,22.07,22.07,22.07,22.07,300
ACR,13 Apr 2023,9.59,9.77,9.29,9.69,11100
ACR-C,13 Apr 2023,20.11,20.41,20.11,20.41,1600
ACR-D,13 Apr 2023,18.94,18.94,18.66,18.75,900
ACR.U,13 Apr 2023,10.18,10.18,10.18,10.18,0
ACR.W,13 Apr 2023,0.184,0.2046,0.1704,0.1709,121200
ACRE,13 Apr 2023,8.66,8.8,8.38,8.71,887000
ACRO,13 Apr 2023,10.13,10.13,10.13,10.13,100000
ACV,13 Apr 2023,19.34,19.435,19.21,19.37,37600
ADC,13 Apr 2023,66.02,66.43,65.15,66.36,836600
ADC-A,13 Apr 2023,18.03,18.18,17.99,17.99,7500
ADCT,13 Apr 2023,2.04,2.4,2.04,2.36,506700
ADM,13 Apr 2023,80.92,81.59,80.35,81.22,2154700
ADNT,13 Apr 2023,39.2,39.25,38.46,38.95,698000
ADT,13 Apr 2023,6.8,6.945,6.75,6.9,2521900
ADX,13 Apr 2023,15.55,15.81,15.55,15.78,205200
AEE,13 Apr 2023,89.46,90.4,88.37,90.1,940600
AEFC,13 Apr 2023,22.22,22.3499,22.04,22.32,30200
AEG,13 Apr 2023,4.5,4.505,4.48,4.48,1454100
AEL,13 Apr 2023,36.57,36.97,36.39,36.85,331000
AEL-A,13 Apr 2023,23.05,23.59,22.95,23.44,13000
AEL-B,13 Apr 2023,24.7,25.37,24.31,24.52,8700
AEM,13 Apr 2023,58.49,59.53,58.105,59.28,4421300
AENZ,13 Apr 2023,2.35,2.35,2.35,2.35,100
AEO,13 Apr 2023,13.38,13.455,13.125,13.21,3968900
AER,13 Apr 2023,55.7,56.25,55.005,55.77,886700
AES,13 Apr 2023,25.2,25.61,24.865,25.54,3830700
AESC,13 Apr 2023,93.21,94.35,92.78,94.11,2200
AESI,13 Apr 2023,17.85,18.1199,17.85,17.95,484900
AEV.W,13 Apr 2023,0.1049,0.12,0.1049,0.11,46300
AEVA,13 Apr 2023,0.93,1.17,0.9217,1.13,2016900
AFB,13 Apr 2023,10.86,10.89,10.78,10.78,102300
AFG,13 Apr 2023,120.79,122.055,120.155,121.6,317100
AFGB,13 Apr 2023,23.8,24.03,23.8,24.02,18400
AFGC,13 Apr 2023,21.48,21.99,21.42,21.85,11200
AFGD,13 Apr 2023,22.99,23.19,22.85,22.87,4500
AFGE,13 Apr 2023,18.84,19.14,18.84,19.14,1010000
AFL,13 Apr 2023,65.78,66.455,65.605,66.3,2642900
AFT,13 Apr 2023,12.74,12.78,12.69,12.7,68500
AG,13 Apr 2023,7.89,8.07,7.735,7.8,8857400
AGCO,13 Apr 2023,125.57,126.16,122.55,125.29,427300
AGD,13 Apr 2023,9.42,9.52,9.42,9.485,49800
AGI,13 Apr 2023,13.67,13.805,13.54,13.67,4140700
AGL,13 Apr 2023,27.96,28.47,27.69,27.69,1986500
AGM,13 Apr 2023,131.33,132.54,130.47,131.29,53100
AGM-C,13 Apr 2023,25.61,25.64,25.48,25.64,500
AGM-D,13 Apr 2023,24.5,24.5,23.6545,23.6951,2400
AGM-E,13 Apr 2023,24.18,24.18,24.17,24.17,300
AGM-F,13 Apr 2023,21.97,21.97,21.5852,21.77,3600
AGM-G,13 Apr 2023,20.88,20.95,20.6308,20.8,5100
AGM.A,13 Apr 2023,111.02,111.02,111.02,111.02,300
AGO,13 Apr 2023,54.09,55,53.69,54.44,279400
AGR,13 Apr 2023,40.23,40.59,39.81,40.49,489900
AGRO,13 Apr 2023,9,9.1,8.8709,8.9,681200
AGS,13 Apr 2023,6.7,6.8,6.58,6.63,333600
AGTI,13 Apr 2023,16.5,16.605,16.32,16.45,149700
AGX,13 Apr 2023,39.52,41.4099,38.4101,39.42,130200
AHH,13 Apr 2023,11.85,11.885,11.61,11.73,495500
AHH-A,13 Apr 2023,21,21.1,21,21.0097,4400
AHL-C,13 Apr 2023,23.93,24.24,23.83,23.86,14100
AHL-D,13 Apr 2023,19.59,19.9599,19.59,19.93,10500
AHL-E,13 Apr 2023,20.3,20.3,20.05,20.3,9900
AHT,13 Apr 2023,2.92,3.31,2.88,3.29,1653000
AHT-D,13 Apr 2023,21.96,21.96,21.19,21.19,500
AHT-F,13 Apr 2023,17.09,17.09,17.09,17.09,100
AHT-G,13 Apr 2023,16.99,17.0684,16.6999,16.91,2200
AHT-H,13 Apr 2023,17.66,17.66,17,17,200
AHT-I,13 Apr 2023,17,17,16.75,16.95,1400
AI,13 Apr 2023,22.1,23.14,21.72,22.29,15605300
AIC,13 Apr 2023,24.01,24.055,23.82,23.82,2800
AIF,13 Apr 2023,12.51,12.5362,12.44,12.49,39900
AIG,13 Apr 2023,50.97,51.81,50.54,51.62,5068700
AIG-A,13 Apr 2023,24.22,24.4284,24.1,24.26,18300
AIN,13 Apr 2023,90.39,90.98,89.35,90.97,78400
AIO,13 Apr 2023,17.31,17.46,17.21,17.35,83400
AIR,13 Apr 2023,54.56,54.88,54,54.79,105800
AIRC,13 Apr 2023,35.57,35.7,35.06,35.33,462800
AIT,13 Apr 2023,134.56,134.59,131.66,134.33,206000
AIU,13 Apr 2023,1.1,1.1499,1.07,1.1299,47300
AIV,13 Apr 2023,7.68,7.755,7.64,7.69,623900
AIZ,13 Apr 2023,116.89,119.34,116.31,118.17,420800
AIZN,13 Apr 2023,20.44,21.66,20.32,21.63,37300
AJG,13 Apr 2023,197.76,199.83,196.7,199.7,961900
AJX,13 Apr 2023,6.81,6.83,6.66,6.83,44000
AJXA,13 Apr 2023,24.27,24.27,24.12,24.215,4300
AKA,13 Apr 2023,0.42,0.4213,0.385,0.41,140700
AKO.A,13 Apr 2023,12.4,12.4,12.4,12.4,100
AKO.B,13 Apr 2023,15.3,15.6,15.3,15.54,7200
AKR,13 Apr 2023,13.24,13.34,13.09,13.18,471900
AL,13 Apr 2023,39.62,39.88,39.07,39.79,560600
AL-A,13 Apr 2023,21.36,21.5018,21.21,21.3,57300
ALB,13 Apr 2023,203.19,205.34,199.96,203.01,1280300
ALC,13 Apr 2023,71.59,72.14,71.48,72.02,1149600
ALCC,13 Apr 2023,10.13,10.14,10.11,10.14,124700
ALE,13 Apr 2023,64.41,64.63,63.27,64.4,289200
ALEX,13 Apr 2023,19.12,19.18,18.95,19.08,199000
ALG,13 Apr 2023,177.36,177.36,174.65,176.63,27700
ALIT,13 Apr 2023,9.07,9.215,9.02,9.18,1939100
ALK,13 Apr 2023,42.62,42.63,41.28,42.38,2404100
ALL,13 Apr 2023,114.11,114.855,113,114.11,2889700
ALL-B,13 Apr 2023,25.55,25.56,25.22,25.34,57200
ALL-H,13 Apr 2023,22.7,22.95,22.52,22.62,103100
ALL-I,13 Apr 2023,22.52,22.54,21.34,21.48,81500
ALL.W,13 Apr 2023,0.2316,0.2316,0.196,0.196,600
ALLE,13 Apr 2023,101.63,102.68,99.99,102.14,661400
ALLG,13 Apr 2023,2.19,2.215,1.92,1.99,187400
ALLY,13 Apr 2023,26.38,26.635,26.13,26.52,4536300
ALSN,13 Apr 2023,45.48,45.91,44.77,45.91,839200
ALT-A,13 Apr 2023,25.42,26.5925,25.42,25.96,4200
ALTG,13 Apr 2023,13.98,13.99,13.65,13.83,209400
ALV,13 Apr 2023,89.24,89.83,88.42,89.76,637900
ALX,13 Apr 2023,194.24,195.93,193.4834,195.81,8600
AM,13 Apr 2023,10.53,10.605,10.49,10.57,1333300
AMB.T,13 Apr 2023,0.2499,0.2499,0.22,0.225,11700
AMBC,13 Apr 2023,15.14,15.365,15.08,15.09,233200
