Symbol,Date,Open,High,Low,Close,Volume
A,06 Jun 2023,118.78,119.22,116.64,117.44,1758800
AA,06 Jun 2023,33.5,34.98,33.44,34.55,4132600
AAC,06 Jun 2023,10.5,10.5,10.49,10.5,437600
AAC.S,06 Jun 2023,10.15,10.22,10.15,10.2,313200
AAC.U,06 Jun 2023,10.65,10.65,10.65,10.65,0
AAC.W,06 Jun 2023,0.6,0.6,0.561,0.6,23500
AAI-B,06 Jun 2023,19.4,19.4,19.4,19.4,0
AAI-C,06 Jun 2023,22.68,23.15,22.6799,22.9,3300
AAIC,06 Jun 2023,4.13,4.27,4.13,4.23,480800
AAIN,06 Jun 2023,23.89,23.89,23.89,23.89,0
AAM-A,06 Jun 2023,24.15,24.6,24.03,24.03,25300
AAM-B,06 Jun 2023,24.46,24.85,24.44,24.5,4700
AAN,06 Jun 2023,12.98,14.03,12.98,13.96,260100
AAP,06 Jun 2023,65.55,67.2,65.19,66.07,3296200
AAT,06 Jun 2023,19.33,19.98,19.28,19.75,466700
AB,06 Jun 2023,34.76,35.34,34.6983,34.98,194600
ABBV,06 Jun 2023,137.47,137.54,134.63,135.43,4359900
ABEV,06 Jun 2023,2.89,3,2.885,2.98,22366600
ABG,06 Jun 2023,211.68,221.58,211.68,220.16,225200
ABM,06 Jun 2023,45.92,48.8,45.82,48.51,764500
ABR,06 Jun 2023,13.55,14.08,13.4701,13.91,2954100
ABR-D,06 Jun 2023,18.27,18.49,18.27,18.4,6700
ABR-E,06 Jun 2023,17.98,17.98,17.8,17.95,5400
ABR-F,06 Jun 2023,18.89,19,18.87,18.87,31200
ABT,06 Jun 2023,103.87,104.04,102.215,102.62,4044400
AC,06 Jun 2023,36.45,36.56,36.04,36.5,11900
ACA,06 Jun 2023,67.87,71.12,67.87,70.27,356700
ACCO,06 Jun 2023,5.07,5.25,5.06,5.23,369900
ACEL,06 Jun 2023,9.55,9.91,9.55,9.86,450600
ACH.W,06 Jun 2023,0.45,0.47,0.43,0.4475,45400
ACHR,06 Jun 2023,2.99,3.16,2.96,3.12,2990700
ACI,06 Jun 2023,20.65,20.97,20.625,20.83,3900000
ACM,06 Jun 2023,81.99,83.23,81.99,83.06,1138000
ACN,06 Jun 2023,302.88,309.31,301.76,308.04,2419300
ACP,06 Jun 2023,6.75,6.77,6.71,6.77,171000
ACP-A,06 Jun 2023,22.59,24.97,22.59,22.9116,4100
ACR,06 Jun 2023,8.31,8.4,8.31,8.35,8300
ACR-C,06 Jun 2023,20.45,20.68,20.2,20.25,8600
ACR-D,06 Jun 2023,18.85,19.075,18.85,18.91,2800
ACR.U,06 Jun 2023,10.2,10.2,10.2,10.2,0
