Symbol,Date,Open,High,Low,Close,Volume
A,15 Sep 2023,114.43,121.92,113.43,115.91,6889600
AA,15 Sep 2023,29.89,29.89,28.8,28.85,8716000
AAC,15 Sep 2023,10.73,10.73,10.71,10.71,19400
AAC.W,15 Sep 2023,0.79,0.79,0.75,0.75,7100
AACT,15 Sep 2023,10.24,10.25,10.24,10.25,14000
AAI-B,15 Sep 2023,19.7511,19.7511,19.7511,19.7511,1000
AAI-C,15 Sep 2023,23.88,24.65,23.72,23.92,5500
AAIC,15 Sep 2023,4.58,4.61,4.58,4.59,160200
AAM-A,15 Sep 2023,25.02,25.05,25,25.05,23700
AAM-B,15 Sep 2023,25.05,25.07,25,25.07,20300
AAN,15 Sep 2023,9.92,10.37,9.69,9.75,9135700
AAP,15 Sep 2023,61.01,61.1,58.86,59.82,4467200
AAT,15 Sep 2023,20.65,20.765,20.35,20.57,1656400
AB,15 Sep 2023,32.33,32.95,31.96,32.94,513200
ABBV,15 Sep 2023,152.78,154.7,151.93,152.12,8868200
ABEV,15 Sep 2023,2.75,2.77,2.72,2.73,19021000
ABG,15 Sep 2023,233.55,235,222.98,225.13,812800
ABM,15 Sep 2023,41.21,41.7,40.4,40.55,1749900
ABR,15 Sep 2023,15.87,16.06,15.73,16.03,4095200
ABR-D,15 Sep 2023,18.86,18.93,18.715,18.8699,5300
ABR-E,15 Sep 2023,18.5,19.09,18.488,19.09,1400
ABR-F,15 Sep 2023,20.6,20.6499,20.31,20.31,5900
ABT,15 Sep 2023,102.85,102.89,101.48,101.74,8303300
AC,15 Sep 2023,37,37.1,36.4,36.4,14500
ACA,15 Sep 2023,74.71,74.88,73.485,74.75,633500
ACCO,15 Sep 2023,5.72,5.79,5.63,5.65,1498600
ACEL,15 Sep 2023,11.09,11.09,10.62,10.76,812900
ACH.W,15 Sep 2023,1.58,1.76,1.52,1.655,42300
ACHR,15 Sep 2023,6.64,6.69,6.13,6.45,19090300
ACI,15 Sep 2023,23.48,23.65,23.48,23.54,17073000
ACM,15 Sep 2023,83.52,84.48,83.09,83.93,1749800
ACN,15 Sep 2023,316.23,316.69,311.46,312.53,3339200
ACP,15 Sep 2023,7.07,7.1,7.05,7.06,127600
